Ax,Ay,Az,Gx,Gy,Gz,Label
0.063,-0.036,1.015,3.076,3.252,9.015,Pitch
0.061,-0.040,0.988,-1.130,1.015,3.710,Pitch
0.079,-0.040,0.996,-1.557,2.130,0.863,Pitch
0.093,-0.030,0.986,-1.565,6.099,1.260,Pitch
0.118,-0.027,0.951,0.160,10.748,10.466,Pitch
0.068,-0.046,0.994,1.840,12.511,12.649,Pitch
0.044,-0.046,1.016,0.840,11.260,7.908,Pitch
0.024,-0.043,1.033,1.099,20.191,6.771,Pitch
0.012,-0.046,1.046,-2.740,15.939,2.405,Pitch
0.004,-0.049,1.050,-7.313,10.107,-5.427,Pitch
0.012,-0.047,1.037,-10.855,15.481,-9.290,Pitch
-0.003,-0.059,1.031,-11.260,5.740,-13.321,Pitch
-0.030,-0.059,1.111,-3.313,-24.053,-15.198,Pitch
0.028,-0.036,1.087,-11.405,-42.481,-14.382,Pitch
0.046,-0.032,0.966,-11.359,-46.763,-15.901,Pitch
0.129,-0.061,0.974,2.198,-43.450,-12.420,Pitch
0.139,-0.126,0.937,17.069,-26.634,-14.015,Pitch
0.127,-0.080,0.792,29.206,36.107,-4.076,Pitch
0.199,-0.014,0.832,18.863,118.626,18.206,Pitch
0.095,-0.004,0.948,-9.420,179.229,26.992,Pitch
0.006,0.008,0.970,12.771,209.145,19.748,Pitch
-0.243,-0.018,0.958,-0.290,172.794,20.389,Pitch
-0.324,-0.074,1.041,5.634,117.145,8.206,Pitch
-0.385,-0.035,1.039,-4.313,86.954,4.130,Pitch
-0.385,-0.076,1.079,-1.679,10.611,-1.321,Pitch
-0.350,-0.075,1.099,9.137,-91.718,-6.855,Pitch
-0.367,-0.014,1.239,16.153,-212.382,-20.282,Pitch
-0.103,-0.015,0.994,-1.427,-250.137,-43.977,Pitch
0.064,-0.108,0.965,13.282,-250.137,-46.397,Pitch
0.154,-0.052,1.037,19.916,-250.137,-24.145,Pitch
0.127,-0.021,0.871,15.092,-250.137,2.183,Pitch
0.312,-0.012,0.774,26.206,-240.878,12.931,Pitch
0.492,0.021,0.822,17.985,-176.313,13.885,Pitch
0.500,0.012,0.813,4.595,-90.786,19.092,Pitch
0.586,0.070,0.764,-26.206,44.809,19.565,Pitch
0.500,0.075,0.705,-34.557,189.275,14.313,Pitch
0.476,0.025,0.731,-27.542,237.771,7.855,Pitch
0.343,-0.068,0.862,-29.947,250.130,3.489,Pitch
0.180,-0.056,0.879,-38.015,250.130,6.779,Pitch
-0.027,-0.110,0.958,-7.840,250.130,9.198,Pitch
-0.141,-0.059,1.009,4.336,247.794,24.725,Pitch
