Ax,Ay,Az,Gx,Gy,Gz,Label
-0.050,-0.032,1.002,0.626,0.550,0.634,Idle
-0.047,-0.031,1.001,0.359,0.802,0.221,Idle
-0.047,-0.034,1.006,0.641,0.328,0.298,Idle
-0.045,-0.034,1.002,0.511,0.649,0.397,Idle
-0.046,-0.030,1.000,0.573,0.573,0.351,Idle
-0.043,-0.033,1.005,0.496,0.550,0.344,Idle
-0.042,-0.033,1.010,0.412,0.603,0.405,Idle
-0.047,-0.031,1.007,0.588,0.809,0.237,Idle
-0.045,-0.030,0.999,0.603,0.626,0.305,Idle
-0.045,-0.027,1.004,0.725,0.412,0.382,Idle
-0.031,-0.040,0.990,0.725,0.977,0.290,Pitch
-0.038,-0.035,1.005,0.534,0.832,0.458,Pitch
-0.048,-0.029,1.011,0.237,0.580,0.252,Pitch
-0.048,-0.034,1.006,0.565,0.580,0.267,Pitch
-0.047,-0.034,1.011,0.664,0.817,0.412,Pitch
-0.042,-0.031,1.009,0.641,0.725,0.328,Pitch
-0.040,-0.034,1.007,0.802,0.756,0.153,Pitch
-0.045,-0.034,1.009,0.489,0.786,0.427,Pitch
-0.045,-0.034,1.005,0.802,0.733,0.244,Pitch
-0.042,-0.033,1.004,0.542,0.618,0.580,Pitch
-0.047,-0.031,1.005,0.260,0.740,0.282,Pitch
-0.041,-0.039,1.006,0.534,0.588,0.450,Pitch
-0.046,-0.031,1.003,0.527,0.573,0.374,Pitch
-0.044,-0.029,1.001,0.359,0.557,0.374,Pitch
-0.040,-0.036,1.000,0.618,0.702,0.153,Pitch
-0.045,-0.032,1.004,0.580,0.702,0.321,Pitch
-0.052,-0.036,1.010,0.397,0.450,0.397,Pitch
-0.045,-0.042,1.013,0.397,0.450,0.145,Pitch
-0.043,-0.038,1.004,0.565,0.947,0.137,Pitch
-0.041,-0.036,1.010,0.641,0.679,0.298,Pitch
-0.043,-0.031,1.011,0.305,0.656,0.351,Pitch
-0.045,-0.038,1.015,0.534,0.702,0.229,Pitch
-0.047,-0.032,1.008,0.382,0.779,0.160,Pitch
-0.044,-0.033,1.009,0.542,0.656,0.153,Pitch
-0.044,-0.031,1.004,0.489,0.626,0.481,Pitch
0.111,-0.044,0.981,4.893,-36.069,-1.344,Pitch
0.134,-0.022,0.977,5.229,-31.137,2.328,Pitch
0.157,-0.013,0.973,1.122,-20.229,1.733,Pitch
0.173,-0.015,0.930,-14.145,31.962,1.435,Pitch
0.198,-0.039,0.689,-36.412,193.351,0.916,Pitch
0.070,-0.039,1.067,-29.611,250.130,-2.511,Pitch
-0.294,0.026,1.219,-30.282,150.565,-19.504,Pitch
-0.193,-0.216,0.961,-28.168,58.298,-11.893,Pitch
-0.249,-0.125,1.067,-23.718,12.290,3.824,Pitch
-0.438,-0.141,1.229,-12.710,-85.939,-3.718,Pitch
-0.354,-0.168,1.203,-9.962,-198.618,-15.160,Pitch
-0.042,-0.094,1.000,29.397,-232.008,-20.328,Pitch
0.183,-0.028,0.807,67.069,-202.954,-9.084,Pitch
0.314,-0.038,0.778,64.802,-131.069,7.069,Pitch
0.353,0.000,0.777,28.183,-34.931,12.099,Pitch
0.434,0.052,0.599,-17.412,136.679,13.664,Pitch
0.323,-0.034,0.748,-35.573,250.130,22.931,Pitch
-0.231,-0.134,1.177,-34.519,209.893,22.267,Pitch
-0.450,-0.147,1.385,-4.160,37.282,10.412,Pitch
-0.514,-0.172,1.384,-51.718,-77.771,-22.565,Pitch
-0.159,-0.228,1.162,-6.763,-165.084,-11.275,Pitch
0.158,-0.040,0.910,52.183,-179.321,8.504,Pitch
0.282,0.055,0.770,55.985,-144.649,15.794,Pitch
0.519,0.099,0.358,-3.595,25.641,9.534,Pitch
0.409,0.062,0.551,-80.710,250.130,22.397,Pitch
-0.189,-0.232,1.240,-22.435,221.420,32.305,Pitch
-0.286,-0.149,1.233,51.076,73.542,21.031,Pitch
-0.446,-0.137,1.323,-11.443,-51.466,-14.214,Pitch
-0.402,-0.201,1.414,3.153,-228.565,-35.863,Pitch
-0.008,-0.071,1.048,50.802,-250.137,-31.870,Pitch
0.347,0.019,0.750,76.672,-155.863,-1.466,Pitch
0.440,0.058,0.614,37.244,-50.908,5.420,Pitch
